Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Каша из дробленой пшеницы,4582,995,Бакалея,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2001-08-15,2004-05-14,2.36:,Awaiting Payment
2,Сочи-Адлер,2449,211,Напитки,Отличается высокой степенью очистки и отсутствия посторонних примесей.,1999-02-07,2017-01-08,4.4:,Shipping
3,Шейка,4166,805,Мясо,Часто рекомендуется врачами-диетологами как часть здорового питания.,2013-03-05,2022-08-01,3.32:,In Stock
4,Спаржа,2330,855,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1994-03-07,2020-04-08,1.04:,Sold
5,Пакеты для мастер-класса,6502,305,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2008-02-01,2012-02-03,1.89:,Awaiting Payment
6,Кольраби,926,870,Овощи,Может использоваться в косметических процедурах для увлажнения кожи.,1999-05-01,2016-01-15,4.65:,Sold
7,Пакеты для Дня Земли,4885,95,Товары для дома,Может использоваться в детском питании начиная с раннего возраста.,1999-02-20,2006-05-03,1.33:,Available for Pickup
8,Куркума молотая,2744,31,Бакалея,Отличается удобством использования и экономичностью в расходе.,2005-01-04,2013-01-03,2.7:,Backorder
9,Пакеты для концерта,9001,735,Товары для дома,"Является источником витаминов группы B, необходимых для энергетического обмена.",1996-05-10,2019-03-06,0.99:,Sold
10,Чашки,1924,607,Товары для дома,Помогает поддерживать нормальный уровень эстрогенов у женщин.,1995-01-14,2029-03-01,2.33:,Returned
11,Слива,9000,430,Фрукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2015-05-08,2029-05-19,1.73:,In Stock
12,Каша из перловки,7539,206,Бакалея,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2021-04-26,2029-09-20,1.49:,Shipping
13,Абрикос,5469,533,Фрукты,Подходит для использования в качестве основы для смузи и коктейлей.,2011-02-04,2020-03-08,2.52:,New
14,Ананас,6734,483,Фрукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,2006-03-03,2016-06-05,1.21:,Refunded
15,Чеддер,360,829,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1994-02-05,1997-05-02,0.86:,Shipping
16,Петрушка корневая,8475,782,Овощи,Помогает нормализовать артериальное давление и уровень холестерина.,2001-05-18,2005-11-06,3.47:,Backorder
17,Тыква,850,691,Овощи,Придает блюдам особую нежность и насыщенность.,1999-03-05,2020-01-02,2.43:,Available for Pickup
18,Кабанятина,9563,73,Мясо,Прошел проверку на соответствие экологическим нормам и стандартам.,1995-01-07,2016-01-03,4.15:,On Backorder
19,Баклажан,5770,148,Овощи,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1990-04-03,2017-05-02,4.44:,Pending
20,Приморская,2173,651,Напитки,Помогает поддерживать нормальный уровень кислотности желудка.,1998-06-01,2019-04-17,1.49:,Temporarily Unavailable
21,Пакеты для концерта,6516,789,Товары для дома,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2003-03-01,2030-05-01,0.81:,Returned
22,Редис,9693,985,Овощи,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2006-01-05,2019-07-04,2.65:,Delivered
23,Апельсин,2404,250,Фрукты,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2011-02-05,2018-07-01,0.26:,In Stock
24,Чеддер,8755,935,Молочные продукты,Помогает поддерживать нормальный уровень сахара в крови.,1999-01-08,2001-03-04,1.52:,Shipping
25,Мыло жидкое,1238,442,Товары для дома,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2012-03-14,2016-02-01,1.3:,Sold
26,Владимирская,3566,276,Напитки,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",1999-01-07,2018-10-03,0.31:,Awaiting Review
27,Перец болгарский,4124,655,Овощи,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2018-06-13,2027-04-14,4.38:,Pending
28,Кесадилья с мясом,899,464,Мясо,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2006-01-03,2021-06-10,1.94:,In Stock
29,Клубника,6392,378,Фрукты,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2011-03-03,2023-07-03,3.43:,Refunded
30,Апельсин,4061,464,Фрукты,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2016-10-02,2027-01-05,4.89:,Delivered
31,Крыжовник,845,644,Фрукты,Используется в косметологии для ухода за кожей и волосами.,2019-11-04,2028-02-04,0.13:,New
32,Лардон,1648,11,Мясо,Помогает поддерживать нормальный уровень pH в организме.,1997-03-02,2010-02-02,1.5:,New
33,Папайя,1403,255,Фрукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1991-03-05,2020-03-02,2.31:,Out of Stock
34,Авокадо,7236,573,Фрукты,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,1993-01-08,2007-07-07,3.61:,Out of Stock
35,Пакеты для охоты,3548,879,Товары для дома,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2006-07-16,2022-03-02,0.58:,Awaiting Payment
36,Щавель,7323,669,Овощи,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2002-05-11,2020-07-09,4.42:,Awaiting Review
37,Российский сыр,498,886,Молочные продукты,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2003-02-02,2025-01-17,0.28:,Delivered
38,Айран,1023,153,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2015-01-14,2030-12-13,3.73:,Shipping
39,Каша из дробленной манной крупы,5756,711,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2012-02-16,2026-10-01,3.86:,Out of Stock
40,Мандарин,1443,330,Фрукты,Отличается высокими показателями усвояемости организмом.,2011-03-18,2024-02-24,2.5:,Awaiting Review
41,Колбаса вареная,524,796,Мясо,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2003-06-03,2020-02-12,2.74:,On Backorder
42,Сельдерей,2903,408,Овощи,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2013-01-01,2020-03-04,4.75:,Pending
43,Пакеты пластиковые,6451,690,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2021-06-09,2022-03-03,1.74:,Cancelled
44,Полотенца кухонные,5711,822,Товары для дома,"Обеспечивает организм необходимыми жирами, белками и углеводами.",1991-02-05,1998-04-07,4.82:,Sold
45,Капучино,3725,920,Напитки,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2001-01-05,2007-01-06,0.38:,Backorder
46,Каша из дробленной манной крупы,6210,229,Бакалея,Помогает предотвратить дефицит витаминов и минералов в организме.,1992-01-19,1998-01-21,0.59:,Delivered
47,Сырокопченая колбаса,6375,794,Мясо,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2020-02-02,2020-02-14,4.62:,Awaiting Payment
48,Фейхоа,566,822,Фрукты,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2019-06-15,2021-02-24,1.97:,In Stock
49,"Специи (перец, куркума, зира)",2888,894,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2012-10-08,2022-01-02,0.01:,On Backorder
50,Кастрюли,8772,454,Товары для дома,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2020-08-01,2021-09-10,0.74:,Awaiting Review
51,Куркума молотая,5028,220,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2010-02-03,2019-03-08,4.95:,Awaiting Payment
52,Масло сливочное,4942,997,Молочные продукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2000-04-10,2011-04-02,2.08:,Backorder
53,Ессентуки,9434,640,Напитки,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",1992-07-01,2024-01-07,0.98:,Refunded
54,Кардамон молотый,2459,951,Бакалея,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1992-07-04,2027-03-10,1.11:,Refunded
55,Кухонные ножи,3601,330,Товары для дома,Отличается натуральным составом и отсутствием искусственных добавок.,2002-04-23,2029-01-24,3.48:,On Backorder
56,Полба,2953,233,Бакалея,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2005-06-26,2014-02-01,3.9:,Pending
57,Горох,4289,660,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2010-01-05,2010-01-05,4.62:,Backorder
58,Смузи мангово-ананасовый,6966,961,Напитки,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2022-01-14,2025-02-24,0.05:,Sold
59,Чиа семена,3829,711,Бакалея,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2013-04-06,2024-07-01,0.4:,Shipping
60,Репа,1885,824,Овощи,Является важным компонентом сбалансированного рациона питания.,1999-01-07,2015-06-11,4.64:,New
61,Полотенца кухонные,4644,580,Товары для дома,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2021-03-01,2027-03-08,0.48:,Shipping
62,Огурец,2249,602,Овощи,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2003-01-12,2028-01-06,0.26:,On Backorder
63,Шелковица,6897,291,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2006-07-18,2012-05-04,3.98:,New
64,Укроп сушеный,9521,401,Бакалея,Отличается простотой в использовании и хранении.,1999-01-09,2009-12-03,4.47:,Cancelled
65,Coca-Cola Zero,3155,50,Напитки,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2010-01-09,2013-03-17,3.05:,Returned
66,Черный перец горошком,2040,478,Бакалея,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2004-04-06,2013-01-16,3.73:,Cancelled
67,Каша из гречки зеленой,7706,601,Бакалея,Подходит для использования в диетических программах для похудения.,1993-01-02,2001-10-09,0.35:,Out of Stock
