product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Рамбутан,3799,626,Фрукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1999-01-02,2016-01-07,2.22,Available for Pickup
2,Мандарин,5262,865,Фрукты,Помогает поддерживать нормальный уровень артериального давления.,1993-07-09,1999-02-03,4.1,New
3,Зеленый перец молотый,8635,834,Бакалея,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1990-03-03,2015-01-08,1.62,Awaiting Payment
4,Патиссон,1369,540,Овощи,Помогает поддерживать здоровый цвет лица и упругость кожи.,2021-02-08,2030-07-11,2.48,Shipping
5,Стаканы,9627,574,Товары для дома,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2014-03-14,2030-04-02,0.48,Returned
6,Пармезан,4554,924,Молочные продукты,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2008-04-06,2016-02-01,4.72,Pending
7,Пакеты для детских вещей,2881,895,Товары для дома,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2019-02-05,2028-05-12,4.07,On Backorder
8,Крымская,1576,801,Напитки,Помогает поддерживать оптимальный вес и форму тела.,2005-01-17,2006-02-10,0.44,Available for Pickup
9,Простыни,9142,950,Товары для дома,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1993-05-06,2001-01-01,4.01,In Stock
10,Крымская,1181,100,Напитки,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2014-03-04,2015-06-02,3.92,Available for Pickup
11,Кефир,5310,681,Молочные продукты,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2009-01-02,2020-05-05,0.25,Awaiting Review
12,Каймак,2614,245,Молочные продукты,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2013-05-14,2014-03-06,0.42,Cancelled
13,Брынза,4544,399,Молочные продукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2002-08-01,2010-02-01,0.26,Available for Pickup
14,Пахта,9076,156,Молочные продукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2007-11-01,2028-06-06,2.7,Pending
15,Владимирская,6810,879,Напитки,Помогает поддерживать нормальный уровень глюкозы в крови.,2003-05-03,2017-03-06,0.85,Temporarily Unavailable
16,Персик,1409,12,Фрукты,Способствует нормализации обмена веществ в организме.,2017-01-18,2025-09-14,4.78,Refunded
17,Хурма,1083,458,Фрукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2020-02-20,2027-01-04,3.56,Pending
18,Верблюжье молоко,295,635,Молочные продукты,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1998-01-20,2018-01-12,2.14,Backorder
19,Свекла,6567,20,Овощи,Помогает предотвратить дефицит витаминов и минералов в организме.,2022-02-04,2029-03-01,2.29,Awaiting Review
20,Полотенца банные,6332,287,Товары для дома,Способствует поддержанию нормальной микрофлоры кишечника.,2012-06-05,2018-08-07,0.69,Available for Pickup
21,Шелковица,5367,286,Фрукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2018-03-01,2026-01-06,2.54,Backorder
22,Пакеты для Пасхи,3978,722,Товары для дома,"Богат кальцием, необходимым для укрепления костей и зубов.",2015-01-04,2028-07-13,3.15,In Stock
23,Анапская,2343,657,Напитки,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1992-01-07,1998-10-02,2.54,Available for Pickup
24,Старый источник,5366,397,Напитки,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2006-05-11,2013-10-01,3.54,Temporarily Unavailable
25,Пакеты для пляжа,3461,472,Товары для дома,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2014-02-09,2022-01-07,0.33,Returned
26,Шафран молотый,9711,834,Бакалея,Помогает поддерживать нормальный уровень энергии и выносливости.,1995-02-18,2027-02-06,2.43,Sold
27,Горчица зерновая,794,804,Бакалея,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2004-10-03,2016-06-01,0.14,New
28,Мешки для мусора,2526,642,Товары для дома,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2007-03-03,2017-07-02,0.5,Returned
29,Формы для выпечки,7727,439,Товары для дома,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2008-05-13,2028-02-06,3.51,On Backorder
